CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,LBRRY_CO,MUSEUM_CO,ARTGR_CO,PRFPLC_CO,ALL_CTLSTT_CO,LBRRY_RT,MUSEUM_RT,ARTGR_RT,PRFPLC_RT,ALL_CLTUR_RT,FILE_NM,BASE_DE
서울특별시,노원구,11350,139535,9,4,2,20,35,6.4499E-5,2.8666E-5,1.4333E-5,1.43333E-4,2.50833E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,은평구,11380,129079,8,2,1,18,29,6.1977E-5,1.5494E-5,7.747E-6,1.39449E-4,2.24668E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,서대문구,11410,124741,4,8,0,112,124,3.2066E-5,6.4132E-5,0.0,8.9786E-4,9.94059E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,마포구,11440,151165,6,5,0,416,427,3.9691E-5,3.3076E-5,0.0,0.002751959,0.002824727,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,양천구,11470,117404,10,0,0,22,32,8.5175E-5,0.0,0.0,1.87387E-4,2.72563E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,강서구,11500,186587,9,3,1,28,41,4.8234E-5,1.6078E-5,5.359E-6,1.50064E-4,2.19736E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,구로구,11530,130805,12,2,0,28,42,9.1739E-5,1.5289E-5,0.0,2.14059E-4,3.21088E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,금천구,11545,82633,4,0,0,22,26,4.8406E-5,0.0,0.0,2.66237E-4,3.14644E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,영등포구,11560,146934,6,2,1,96,105,4.0834E-5,1.3611E-5,6.805E-6,6.53354E-4,7.14606E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,동작구,11590,146253,7,1,0,34,42,4.7862E-5,6.837E-6,0.0,2.32473E-4,2.87173E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,관악구,11620,220230,5,2,1,28,36,2.2703E-5,9.081E-6,4.54E-6,1.27139E-4,1.63465E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,서초구,11650,123510,10,4,5,158,177,8.0965E-5,3.2386E-5,4.0482E-5,0.001279248,0.001433082,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,강남구,11680,177643,15,8,4,274,301,8.4439E-5,4.5034E-5,2.2517E-5,0.001542419,0.001694409,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,송파구,11710,206402,12,5,3,50,70,5.8138E-5,2.4224E-5,1.4534E-5,2.42245E-4,3.39144E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
서울특별시,강동구,11740,127720,9,2,0,16,27,7.0466E-5,1.5659E-5,0.0,1.25274E-4,2.11399E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
없음(세종시),없음(세종시),36110,106303,15,7,0,28,50,1.41106E-4,6.5849E-5,0.0,2.63398E-4,4.70353E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
울산광역시,중구,31110,49506,2,2,1,26,31,4.0399E-5,4.0399E-5,2.0199E-5,5.25188E-4,6.26186E-4,KC_600_MIL_CLT_STATN_BIZAEA_2023,20231231
